ProductId,ProductName,ProductDescription,UnitPrice,StockQuantity,CategoryId,CountryOfOrigin,ProductImageUrl
1,Premium Defter,"Defter kategorisinde premium kalite sunan, Spain menşeli harika bir ürün.",164.12,610,11,France,https://picsum.photos/seed/1/200
2,Profesyonel Kitaplık,"Kitaplık kategorisinde profesyonel kalite sunan, Italy menşeli harika bir ürün.",18198.04,752,5,Germany,https://picsum.photos/seed/2/200
3,Profesyonel Ses Sistemi,"Ses Sistemi kategorisinde profesyonel kalite sunan, Netherlands menşeli harika bir ürün.",19270.91,253,1,France,https://picsum.photos/seed/3/200
4,Yüksek Performanslı Sandalet,"Sandalet kategorisinde yüksek performanslı kalite sunan, Türkiye menşeli harika bir ürün.",324.78,696,7,Netherlands,https://picsum.photos/seed/4/200
5,Ultra Uzaktan Kumandalı Araba,"Uzaktan Kumandalı Araba kategorisinde ultra kalite sunan, Germany menşeli harika bir ürün.",4688.21,641,10,Türkiye,https://picsum.photos/seed/5/200
6,Yüksek Performanslı Çay Makinesi,"Çay Makinesi kategorisinde yüksek performanslı kalite sunan, Türkiye menşeli harika bir ürün.",3329.57,114,4,France,https://picsum.photos/seed/6/200
7,Dayanıklı Keman,"Keman kategorisinde dayanıklı kalite sunan, France menşeli harika bir ürün.",11645.65,367,15,Netherlands,https://picsum.photos/seed/7/200
8,Lüks Günlük Sneaker,"Günlük Sneaker kategorisinde lüks kalite sunan, Türkiye menşeli harika bir ürün.",1579.06,0,7,France,https://picsum.photos/seed/8/200
9,Premium Akıllı Telefon,"Akıllı Telefon kategorisinde premium kalite sunan, Spain menşeli harika bir ürün.",26645.92,330,3,Spain,https://picsum.photos/seed/9/200
10,Akıllı Araç İçi Kamera,"Araç İçi Kamera kategorisinde akıllı kalite sunan, Italy menşeli harika bir ürün.",276.26,763,12,France,https://picsum.photos/seed/10/200
11,Kompakt Motor Yağı,"Motor Yağı kategorisinde kompakt kalite sunan, Netherlands menşeli harika bir ürün.",3571.11,28,12,Spain,https://picsum.photos/seed/11/200
